id;Nombre;nivel;musculos;valoracion;descripcion;idFoto
eb0;Australian chin ups;Principiante;Espalda,biceps;;En una barra baja, col�cate debajo para hacer un movimiento de remo con agarre supino (las palmas de las manos mirando hacia arriba).;eb001
eb1;Australian pull ups;Principiante;Espalda,biceps;;En una barra baja col�cate por debajo para hacer un movimiento de remo con agarre prono.;eb002
eb2;Dead hang;Principiante;Espalda,biceps;;En una barra alta, qu�date colgado por un tiempo determinado.;eb003
eb3;Dominada negativa;Principiante;Espalda,biceps;;Salta hasta colocarte con la barbilla por encima de la barra y luego baja de forma lenta y controlada;eb004
eb4;Pullover;Principiante;Espalda,biceps;;En una barra baja, da un paso hacia adelante y un peque�o salto flexionando la cadera y elevando los pies por encima de la barra, mientras tanto tira fuerte con los brazos para que coloques tu cadera apoyada en la misma y realices un giro.;eb005
eb5;Dominadas;Intermedio;Espalda,biceps;;Cuelgate con los codos bloqueados y sube hasta pasar la barra con la barbilla.;eb006
eb6;Dead hang a una mano;Intermedio;Espalda,biceps;;Cuelgate de la barra con una mano durante un tiempo determinado;eb007
eb7;Dominada b�lgara en anilals;Intermedio;Espalda,biceps;;Coloca las anilals en altura y cuelgate de las mismas. Realiza una dominada intentando mantener una anchura entre tus manos del doble de la de tus hombors.;eb008
eb8;Bandera; Avanzado;Espalda,biceps;;En unas barras tipo espaldera, coloca una mano a una altura superior a tu cabeza y la otra a la altura de tu cintura. Intenta colocarte en posici�n paralela al suelo utilizando el brazo de abajo como apoyo y tirando un poco con el de arriba.;eb009
eb9;Dominadas a un brazo;Avanzado;Espalda,biceps;;Estando completamente colgado de un brazo, realiza una dominada.;eb010
eb10;Dominadas arqueras;Avanzado;Espalda,biceps;;En cada repetici�n, lleva la barbilla a una de las manos mientr�s mantienes el otro brazo estirado, sin doblarlo en ning�n momento.;eb011
