id;Nombre;nivel;musculos;valoracion;descripcion;idFoto
pet0;Flexiones;Principiante;Pecho,triceps;;Manos en el suelo, apertura un poco más amplia que la de los hombros, espalda recta.;pt001
pet1;Flexiones inclinadas;Principiante;Pecho,triceps;;Flexiones con los braxos en alto con respecto a las piernas, utiliza un bamco o barra.;pt002
pet2;Fondos triceps;Principiante;Pecho,triceps;;Colócate en las paralelas y realiza fondos en un rango de movimiento de unos 90º. Intenta no encogerte de hombros ni balancearte.;pt003
pet3;Fondos en banco;Principiante;Pecho,triceps;;En un banco que tenga una altura entre tus rodillas y cadera, colocate de espaldas con las manos en el borde y realiza fondos hasta llegar o superar ligeramente los 90º.;pt004
pet4;Isométrico de flexiones abajo;Principiante;Pecho,triceps;;En el suelo, colócate en posición de flexiones y baja hasta que el pecho esté casi a a altura de las manos y aguanta esa posición porun tiempo determinado.;pt005
pet5;Flexiones arqueras en anillas;Intermedio;Pecho,triceps;;Colocar las anillas al suelo y realiza flexiones. Mientras vas bajando, abre uno de tus brazos de manera que quede casi copletamnete estirado y luego vuelve a la posición inicial. Ve alternando los brazos.;pt006
pet6;Flexiones diamante;Intermedio;Pecho,triceps;;Igual que las flexiones pero con las manos unidas formando una figura de diamante.;pt007
pet7;Fondos a codos;Intermedio;Pecho,triceps;;Al flexionar los brazos, deja que tus antebrazos caigan sobre la barra, utiliza un movimiento explosivo para volver a subir y terminiar el fondo.;pt008
pet8;Pseudo flexiones;Intermedio;Pecho,triceps;;Flexiones con las manos a la altura de la cadera en posición neutra o supina.;pt009
pet9;Negativa impossible dip;Intermedio;Pecho,triceps;;Desde ela posición inicial de fondos, inclina el cuerpo hacia atras e intenta bajar lentamente hasta que los antebrazos toquen las barras.;pt010
pet10;Korean dip;Intermedio;Pecho,triceps;;Colócate sentado en una barra, agárrala a los lados de tu cintura y déjate caer por delante de la misma, cuando llegues al punto de máxiima flexibilidad de los hombros vuelve a subir;pt011
pet11;Flexiones a codos;Avanzado;Pecho,triceps;;Cada vez que realizas una repetición, te dejas caer sobre tus antebrazos y luego vuelves a subir.;pt012
pet12;Impossible dip;Avanzado;Pecho,triceps;;Desde una posición de fondos, baja hasta que los antebrazos queden apoyados en las barras y luego vuelve a subir manteniendo el cuerpo inclinado hacia atrás y sin usar ningún impulso.;pt013
